	Domain	Phylum	Class	Order	Family	Genus	Species	RandomForestExp	RandomForestPrefer	pH	SOC	TN	MAT	MaxTWarmM	MAP	PWetM	NDVI	ClusterNames
OTU_6809	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	Unclassified	27.07580811	SMDR									
OTU_681	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified	20.31656493	SOC									
OTU_682	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium celatum	4.212441	MAP									
OTU_686	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	metagenome	32.25073516	pH			0.136165872		0.164553736	-0.168642173	0.227496981	0.228788921	High PWetM
OTU_687	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	Unclassified	47.89622353	pH			-0.151862956	-0.191853071					
OTU_688	Bacteria	Acidobacteriota	Blastocatellia	44524	Unclassified	Unclassified	Unclassified	38.99997206	PDryQ	-0.205157468			-0.153977206			-0.228489837	0.180724923	Low pH low MAT
OTU_6888	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unclassified	28.78800155	PWarmQ			-0.17052395				0.13364352		
OTU_6924	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Paraburkholderia sprentiae WSM5005	13.04025412	PWetQ									
OTU_6928	Bacteria	Chloroflexi	KD4-96	Unclassified	Unclassified	Unclassified	Unclassified	-16.72818022	pH									
OTU_6966	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	Unclassified	27.6845939	pH									
OTU_699	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	WX65	Unclassified	Unclassified	53.30967122	pH					-0.152885706			0.227523565	High NDVI
OTU_7	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus circulans	22.846043	NDVI									
OTU_7013	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unclassified	Unclassified	Unclassified	69.28780997	pH	0.425921026								High pH
OTU_703	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Unclassified	Unclassified	51.58017429	MeanTDryQ		0.188424871					0.162148893	-0.136675095	High SOC
OTU_705	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	Unclassified	38.23180986	pH	-0.271336234			-0.20428381			-0.139718896		Low pH low MAT
OTU_706	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	Unclassified	57.99751465	TN	0.177056307	-0.152983897						0.178830456	High pH
OTU_707	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unclassified	55.51077192	pH	0.267878437		0.146197872			-0.170948445	0.265501431		High pH
OTU_709	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Galbitalea	Unclassified	20.91709116	Isothermality									
OTU_71	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp.	55.15520942	pH	-0.162775782			-0.285996466	0.210672723			0.175517032	Low pH low MAT
OTU_710	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	metagenome	Unclassified	17.86821926	pH									
OTU_714	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified	Unclassified	58.00526975	pH	-0.203760561				0.224388965				Low pH
OTU_71499	Bacteria	Acidobacteriota	Subgroup 5	Unclassified	Unclassified	Unclassified	Unclassified	33.41646875	SMDR			0.245984396				0.161265835		
OTU_7182	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Unclassified	-0.441354532	NDVI									
OTU_719	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unclassified	50.34618318	pH	0.29721604	-0.182929202	0.200437697				0.138641181		High pH and TN with low SOC
OTU_72	Bacteria	Myxococcota	bacteriap25	metagenome	Unclassified	Unclassified	Unclassified	84.37222202	pH	0.229229335	-0.176247216	0.297828025						High pH and TN with low SOC
