	Domain	Phylum	Class	Order	Family	Genus	Species	RandomForestExp	RandomForestPrefer	pH	SOC	TN	MAT	MaxTWarmM	MAP	PWetM	NDVI	ClusterNames
OTU_900	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	metagenome	34.09101461	pH									
OTU_901	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified	Unclassified	42.76537803	MDR	0.280272665	-0.151524301				-0.150138747	0.266575041		High pH
OTU_904	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	metagenome	Unclassified	-27.68205533	MeanTDryQ									
OTU_906	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	metagenome	Unclassified	68.93036607	PDryQ		0.194756584							High SOC
OTU_907	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	Unclassified	27.50014139	MeanTWetQ	-0.264376531	0.158581826			-0.169072913				Low pH high SOC
OTU_91	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Unclassified	Unclassified	44.16327752	NDVI	-0.145505327								Low pH
OTU_910	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Unclassified	Unclassified	34.53178381	PWetQ	0.188211344	0.138991751		0.208205564		-0.143031152			High pH
OTU_9159	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified	Unclassified	0.919935088	MAP									
OTU_923	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unclassified	Unclassified	Unclassified	46.54077612	pH	-0.264742415		-0.190404939	-0.185550316	0.189078383				Low pH
OTU_926	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unclassified	Unclassified	Unclassified	37.28275777	SMaxTWarmM	-0.163110189				-0.202313629				Low pH
OTU_928	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	Unclassified	44.42156445	STAR	-0.133212392	0.139427992	-0.134450662						High SOC
OTU_930	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides sp.	29.91731418	SOC			-0.168297927						
OTU_9370	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unclassified	3.185083973	SOC	-0.190548158								Low pH
OTU_94	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Unclassified	Unclassified	63.27399713	PWetM					0.170509758		-0.242841426		
OTU_945	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp.	47.56105704	SMaxTWarmM	0.162100035	0.156008828					0.219363664		High PWetM
OTU_95	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Xylophilus	metagenome	46.89171368	pH		0.183599428			-0.273851723				
OTU_953	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unclassified	metagenome	Unclassified	51.60236085	TN		0.138970957					-0.186381248		
OTU_954	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unclassified	37.17616607	SOC	-0.179564161					-0.203329581	0.156541046		Low pH
OTU_9544	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unclassified	Unclassified	52.44256995	PWetQ									
OTU_955	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified	44.82702553	TN		0.173742197					0.140499621		High SOC
OTU_956	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	Unclassified	44.14100007	SOC	-0.373091472	-0.170357528		-0.268877235	0.269349519				Low pH low MAT
OTU_957	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	Unclassified	64.75388903	SMAT				-0.367852508	0.198555699		-0.154363558		High MaxTWarmM
OTU_96	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Unclassified	33.27349952	pH	0.185311771		0.163639357				0.141147215		High pH
OTU_960	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Unclassified	Unclassified	35.47289306	TN	0.142563349			-0.197029439	0.227126281				High MaxTWarmM
OTU_961	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Unclassified	Unclassified	51.15599322	MaxTWarmM	0.228560413	0.235990797			0.251706919				High MaxTWarmM
OTU_962	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	Unclassified	49.68230845	pH	0.188554135							0.154151137	High pH
OTU_966	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas mali	49.71406394	pH	-0.344834065								Low pH
OTU_967	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Paraburkholderia xenovorans LB400	28.20405948	pH									
OTU_968	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Unclassified	Unclassified	Unclassified	28.16538881	SMeanTDryQ									
OTU_97	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	metagenome	61.5630983	TN				-0.151282848	0.183657347				High MaxTWarmM
OTU_977	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Citrifermentans	Unclassified	25.77813501	pH									
OTU_98	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified	Unclassified	69.1292096	pH	0.287377398	-0.225325445	0.216463757		0.211187193				High pH and TN with low SOC
OTU_981	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	Unclassified	66.75773913	SOC	0.191675484						-0.142735426	0.302017474	High pH
OTU_982	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Unclassified	35.87136715	SMaxTWarmM			-0.177227402	-0.198993138				0.14426653	High NDVI
OTU_983	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	Unclassified	1.710025639	MeanTWarmQ									
OTU_99	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Unclassified	Unclassified	55.84326785	pH	-0.178830785				0.208054929				Low pH
OTU_991	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unclassified	Unclassified	Unclassified	12.50244345	NDVI									
OTU_992	Bacteria	Chloroflexi	TK10	Unclassified	Unclassified	Unclassified	Unclassified	22.54355273	MAP									
OTU_993	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Unclassified	Unclassified	Unclassified	35.42846741	TN	-0.158395451								Low pH
